date,total_tweet,positif_tweet,negatif_tweet,netral_tweet,avg_compound
2023-10-08,1,0,0,1,0.0
2023-11-16,1,0,1,0,-0.1027
2023-12-01,1,1,0,0,0.3612
2023-12-21,1,0,0,1,0.0
2024-08-12,1,1,0,0,0.7717
2024-08-23,1,1,0,0,0.7703
2024-10-15,1,1,0,0,0.7311
2024-11-05,2,2,0,0,0.58005
2024-11-14,1,0,0,1,0.0
2025-01-02,1,1,0,0,0.5423
2025-02-01,1,0,1,0,-0.0675
2025-02-02,1,0,1,0,-0.1531
2025-02-11,1,1,0,0,0.3818
2025-02-13,1,0,1,0,-0.3182
2025-02-25,1,0,1,0,-0.9977
2025-03-26,2,1,1,0,-0.25445
2025-03-29,1,0,0,1,0.0
2025-05-04,1,0,0,1,0.0
2025-05-05,2,0,2,0,-0.1779
2025-05-06,2,2,0,0,0.23654999999999998
2025-05-09,1,1,0,0,0.8591
2025-05-22,2,2,0,0,0.5302
2025-05-23,1,1,0,0,0.296
2025-05-24,1,1,0,0,0.7184
2025-05-26,1,1,0,0,0.2263
2025-06-02,2,1,1,0,0.30635
2025-06-03,1,1,0,0,0.1531
2025-06-04,3,1,0,2,0.10606666666666666
2025-06-05,2,1,1,0,0.010450000000000015
2025-06-10,1,1,0,0,0.4767
2025-06-12,3,2,1,0,0.23230000000000003
2025-06-13,2,2,0,0,0.5935
2025-06-16,3,2,1,0,0.10409999999999997
2025-06-18,1,1,0,0,0.8519
2025-06-19,1,1,0,0,0.128
2025-06-20,1,0,1,0,-0.1779
2025-06-22,1,1,0,0,0.34
2025-06-23,2,1,0,1,0.07655
2025-06-26,1,1,0,0,0.2732
2025-06-28,1,1,0,0,0.4215
2025-06-29,1,0,0,1,0.0
2025-06-30,2,1,1,0,0.34435
2025-07-03,2,1,0,1,0.3548
2025-07-04,1,1,0,0,0.3182
2025-07-06,1,0,0,1,0.0
2025-07-07,1,0,0,1,0.0
2025-07-08,4,4,0,0,0.835275
